LAWS70134, Comparative Corporate Governance
LAWS70327, Prosecuting the War on Terror
MEDS90042, MD Discovery 4: Creation
BUSA90547, Applied Business Analytics
DENT90107, Special Needs Dentistry 3
LAWS70194, Corporate Equity Fundraising
NURS90105, Chronic Disease Management: In Practice
DEVT90007, Development Policy: Independent Project
ACCT90007, Assurance Practices
DPSS30011, Design and Production Melbourne x Berlin
GEOM90017, Spatial Industry Internship
SCWK90045, Thesis(FT)
ACCT40003, Research in Auditing
LAWS90179, Law, Science and Development
ACCT30007, Special Topics in Accounting
ABPL90357, Forms and Politics in Architecture
LAWS90100, Energy and Resources Law in China
LAWS90045, Human Rights and Universality
LAWS70267, Taxation of Superannuation
CREA70001, Research Project (MFA)
LAWS90122, Human Rights in Asia: Current Issues
ECON90047, Macroeconomics 2
BUSA90315, Risk Management
LAWS50121, Law and Literature
ECON90065, Advanced Studies in Economics 2
ACCT90006, Strategic Management Accounting
MAST90124, Advanced Topics in Geometry and Topology
BUSA90132, Industry Studies in Asia
ABPL90114, Travelling Studio (Guwahati, India)
ERTH90029, Environmental Geochemistry
GENE90003, Counselling Skills
LAWS90040, Construction, the Community & Neighbours
CHEN80001, PhD Research
BUSA90139, Integration and Implementation
LAWS70390, Freedom of Speech
ABPL90045, Statutory Valuation (PG)
ACCT30006, Financial Analysis and Valuation
LAWS90077, Not for Profits and the Law
LAWS70468, Negotiation Skills
MGMT90177, Supply Chain Management Project
BIOL90018, BioSciences Research Project Part 4
BUSA90229, Operations
LING90026, Transcultural Communication at Work
PHIL40013, Free Speech & Hate Speech
BUSA90485, Global Business Practicum
CREA90017, Creative Arts Therapists in Community
POPH90070, Clinical Sexual & Reproductive Health
MULT30023, Science & Engineering in Popular Culture
AHIS40008, Twentieth-Century Italian Art: 1909-1969
MUSI90258, Orchestral Performance Practicum 3
CHEM10008, Foundation Studies in Chemistry
LAWS90008, Law and Indigenous Peoples
DPSS90003, Design Projects 2
OPTO90023, Applied Clinical Training
MECM90002, Global Data Policy & Governance
FRST90033, Farm Trees & Agroforestry
AGRI30042, Plant Pathology
FOOD90037, MFPI Internship Part 1
ACCT90019, Financial Accounting Research
LAWS90047, Law of International Organisations
ABPL90130, Planning Law & Statutory Planning
CLRS90011, Study Design in Clinical Research
MUSI40082, Major Project (Jazz & Improvisation)
ECOM90025, Advanced Data Analysis
BIOL90034, BioSciences Research Project Pt 4(Cont.)
ECON90079, Advanced Experimental Economics
ABPL90363, Property Research and Analysis
PHTY90094, Research and Evidence 1
PHYC90011, Particle Physics
PSYC90116, Professional Psychology Placement 2
PSYC90108, Sport Psychology
AHIS40020, Museology in Florence
ANSC90007, Animal Welfare
FLTV70031, Narrative Projects 2B
MUSI90232, Repetiteur Skills
ABPL90362, Research Thesis - Property
LAWS70333, Taxation of Trusts
AGRI30022, Special Studies
BUSA90517, Social Entrepreneur Consulting Practicum
LAWS70113, Public Private Partnerships Law
MEDI90096, Cancer across the Lifespan
LAWS70193, Shareholders' Rights and Remedies
ARTS40001, Research Principles & Practices Honours
MAST90058, Elements of Statistics
LAWS90126, Digital Trade
GEOL30009, Field Geology
GEOG90031, Geography Minor Research Project Part 1
MAST90023, Algebraic Topology
DNCE90016, Dance Writing, Archives & Documentation
CLRS90027, Principles of Clinical Research
MEDI90141, TOE - Practical
ANTH30019, Innovation, Design, and Society
LING90020, Second Language Writing
